User ID,Gender,Age,EstimatedSalary,Purchased
15624510,Male,19.0,19000.0,0
15810944,Male,35.0,20000.0,0
15668575,Female,26.0,43000.0,0
15603246,Female,27.0,57000.0,0
15804002,Male,19.0,76000.0,0
15728773,Male,27.0,58000.0,0
15598044,Female,27.0,84000.0,0
15694829,Female,32.0,150000.0,1
15600575,Male,25.0,33000.0,0
15727311,Female,35.0,65000.0,0
15570769,Female,26.0,80000.0,0
15606274,Female,26.0,52000.0,0
15746139,Male,20.0,86000.0,0
15704987,Male,32.0,18000.0,0
15628972,Male,18.0,82000.0,0
15697686,Male,29.0,80000.0,0
15733883,Male,47.0,25000.0,1
15617482,Male,45.0,26000.0,1
15704583,Male,46.0,28000.0,1
15621083,Female,48.0,29000.0,1
15649487,Male,45.0,22000.0,1
15736760,Female,47.0,49000.0,1
15714658,Male,48.0,41000.0,1
15599081,Female,45.0,22000.0,1
15705113,Male,46.0,23000.0,1
15631159,Male,47.0,20000.0,1
15792818,Male,49.0,28000.0,1
15633531,Female,47.0,30000.0,1
15744529,Male,29.0,43000.0,0
15669656,Male,31.0,18000.0,0
15581198,Male,31.0,74000.0,0
15729054,Female,27.0,137000.0,1
15573452,Female,21.0,16000.0,0
15776733,Female,28.0,44000.0,0
15724858,Male,27.0,90000.0,0
15713144,Male,35.0,27000.0,0
15690188,Female,33.0,28000.0,0
15689425,Male,30.0,49000.0,0
15671766,Female,26.0,72000.0,0
15782806,Female,27.0,31000.0,0
15764419,Female,27.0,17000.0,0
15591915,Female,33.0,51000.0,0
15772798,Male,35.0,108000.0,0
15792008,Male,30.0,15000.0,0
15715541,Female,28.0,84000.0,0
15639277,Male,23.0,20000.0,0
15798850,Male,25.0,79000.0,0
15776348,Female,27.0,54000.0,0
15727696,Male,30.0,135000.0,1
15793813,Female,31.0,89000.0,0
15694395,Female,24.0,32000.0,0
15764195,Female,18.0,44000.0,0
15744919,Female,29.0,83000.0,0
15671655,Female,35.0,23000.0,0
15654901,Female,27.0,58000.0,0
15649136,Female,24.0,55000.0,0
15775562,Female,23.0,48000.0,0
15807481,Male,28.0,79000.0,0
15642885,Male,22.0,18000.0,0
15789109,Female,32.0,117000.0,0
15814004,Male,27.0,20000.0,0
15673619,Male,25.0,87000.0,0
15595135,Female,23.0,66000.0,0
15583681,Male,32.0,120000.0,1
15605000,Female,59.0,83000.0,0
15718071,Male,24.0,58000.0,0
15679760,Male,24.0,19000.0,0
15654574,Female,23.0,82000.0,0
15577178,Female,22.0,63000.0,0
15595324,Female,31.0,68000.0,0
15756932,Male,25.0,80000.0,0
15726358,Female,24.0,27000.0,0
15595228,Female,20.0,23000.0,0
15782530,Female,33.0,113000.0,0
15592877,Male,32.0,18000.0,0
15651983,Male,34.0,112000.0,1
15746737,Male,18.0,52000.0,0
15774179,Female,22.0,27000.0,0
15667265,Female,28.0,87000.0,0
15655123,Female,26.0,17000.0,0
15595917,Male,30.0,80000.0,0
15668385,Male,39.0,42000.0,0
15709476,Male,20.0,49000.0,0
15711218,Male,35.0,88000.0,0
15798659,Female,30.0,62000.0,0
15663939,Female,31.0,118000.0,1
15694946,Male,24.0,55000.0,0
